nSeq,I1,I2,O1,O2,A3
7,0,0,0,0,407
8,0,0,0,0,407
9,0,0,0,0,407
10,0,0,0,0,407
11,0,0,0,0,407
12,0,0,0,0,407
13,0,0,0,0,407
14,0,0,0,0,407
15,0,0,0,0,407
0,0,0,0,0,407
1,0,0,0,0,407
2,0,0,0,0,407
3,0,0,0,0,407
4,0,0,0,0,407
5,0,0,0,0,407
6,0,0,0,0,407
7,0,0,0,0,407
8,0,0,0,0,407
9,0,0,0,0,407
10,0,0,0,0,407
11,0,0,0,0,407
12,0,0,0,0,407
13,0,0,0,0,407
14,0,0,0,0,407
15,0,0,0,0,407
0,0,0,0,0,407
1,0,0,0,0,407
2,0,0,0,0,407
3,0,0,0,0,407
4,0,0,0,0,407
5,0,0,0,0,407
6,0,0,0,0,407
7,0,0,0,0,407
8,0,0,0,0,407
9,0,0,0,0,407
10,0,0,0,0,407
11,0,0,0,0,407
12,0,0,0,0,407
13,0,0,0,0,407
14,0,0,0,0,407
15,0,0,0,0,407
0,0,0,0,0,407
1,0,0,0,0,407
2,0,0,0,0,407
3,0,0,0,0,407
4,0,0,0,0,407
5,0,0,0,0,407
6,0,0,0,0,407
7,0,0,0,0,407
8,0,0,0,0,407
9,0,0,0,0,407
10,0,0,0,0,407
11,0,0,0,0,407
12,0,0,0,0,407
13,0,0,0,0,407
14,0,0,0,0,407
15,0,0,0,0,407
0,0,0,0,0,407
1,0,0,0,0,407
2,0,0,0,0,407
3,0,0,0,0,406
4,0,0,0,0,407
5,0,0,0,0,407
6,0,0,0,0,406
7,0,0,0,0,406
8,0,0,0,0,406
9,0,0,0,0,407
10,0,0,0,0,406
11,0,0,0,0,406
12,0,0,0,0,406
13,0,0,0,0,407
14,0,0,0,0,406
15,0,0,0,0,406
0,0,0,0,0,406
1,0,0,0,0,406
2,0,0,0,0,406
3,0,0,0,0,406
4,0,0,0,0,406
5,0,0,0,0,406
6,0,0,0,0,406
7,0,0,0,0,406
8,0,0,0,0,406
9,0,0,0,0,406
10,0,0,0,0,406
11,0,0,0,0,406
12,0,0,0,0,406
13,0,0,0,0,406
14,0,0,0,0,406
15,0,0,0,0,406
0,0,0,0,0,406
1,0,0,0,0,406
2,0,0,0,0,406
3,0,0,0,0,406
4,0,0,0,0,406
5,0,0,0,0,406
6,0,0,0,0,406
7,0,0,0,0,406
8,0,0,0,0,406
9,0,0,0,0,406
10,0,0,0,0,406
11,0,0,0,0,406
12,0,0,0,0,406
13,0,0,0,0,406
14,0,0,0,0,406
15,0,0,0,0,406
0,0,0,0,0,406
1,0,0,0,0,406
2,0,0,0,0,406
3,0,0,0,0,406
4,0,0,0,0,406
5,0,0,0,0,406
6,0,0,0,0,406
7,0,0,0,0,406
8,0,0,0,0,406
9,0,0,0,0,406
10,0,0,0,0,406
11,0,0,0,0,406
12,0,0,0,0,406
13,0,0,0,0,406
14,0,0,0,0,406
15,0,0,0,0,406
0,0,0,0,0,406
1,0,0,0,0,406
2,0,0,0,0,406
3,0,0,0,0,406
4,0,0,0,0,406
5,0,0,0,0,406
6,0,0,0,0,406
7,0,0,0,0,406
8,0,0,0,0,406
9,0,0,0,0,406
10,0,0,0,0,406
11,0,0,0,0,406
12,0,0,0,0,406
13,0,0,0,0,406
14,0,0,0,0,406
15,0,0,0,0,406
0,0,0,0,0,406
1,0,0,0,0,406
2,0,0,0,0,406
3,0,0,0,0,406
4,0,0,0,0,406
5,0,0,0,0,406
6,0,0,0,0,406
7,0,0,0,0,406
8,0,0,0,0,406
9,0,0,0,0,406
10,0,0,0,0,406
11,0,0,0,0,405
12,0,0,0,0,406
13,0,0,0,0,406
14,0,0,0,0,406
15,0,0,0,0,405
0,0,0,0,0,405
1,0,0,0,0,406
2,0,0,0,0,406
3,0,0,0,0,405
4,0,0,0,0,405
5,0,0,0,0,405
6,0,0,0,0,405
7,0,0,0,0,405
8,0,0,0,0,405
9,0,0,0,0,405
10,0,0,0,0,405
11,0,0,0,0,405
12,0,0,0,0,405
13,0,0,0,0,405
14,0,0,0,0,405
15,0,0,0,0,405
0,0,0,0,0,405
1,0,0,0,0,405
2,0,0,0,0,405
3,0,0,0,0,405
4,0,0,0,0,405
5,0,0,0,0,405
6,0,0,0,0,405
7,0,0,0,0,405
8,0,0,0,0,405
9,0,0,0,0,405
10,0,0,0,0,405
11,0,0,0,0,405
12,0,0,0,0,405
13,0,0,0,0,405
14,0,0,0,0,405
15,0,0,0,0,405
0,0,0,0,0,405
1,0,0,0,0,405
2,0,0,0,0,405
3,0,0,0,0,405
4,0,0,0,0,405
5,0,0,0,0,405
6,0,0,0,0,405
7,0,0,0,0,405
8,0,0,0,0,405
9,0,0,0,0,405
10,0,0,0,0,405
11,0,0,0,0,405
12,0,0,0,0,405
13,0,0,0,0,405
14,0,0,0,0,405
15,0,0,0,0,405
0,0,0,0,0,405
1,0,0,0,0,405
2,0,0,0,0,405
3,0,0,0,0,405
4,0,0,0,0,405
5,0,0,0,0,405
6,0,0,0,0,405
7,0,0,0,0,405
8,0,0,0,0,405
9,0,0,0,0,405
10,0,0,0,0,405
11,0,0,0,0,404
12,0,0,0,0,405
13,0,0,0,0,405
14,0,0,0,0,405
15,0,0,0,0,404
0,0,0,0,0,405
1,0,0,0,0,405
2,0,0,0,0,404
3,0,0,0,0,404
4,0,0,0,0,404
5,0,0,0,0,404
6,0,0,0,0,404
7,0,0,0,0,404
8,0,0,0,0,404
9,0,0,0,0,404
10,0,0,0,0,404
11,0,0,0,0,404
12,0,0,0,0,404
13,0,0,0,0,404
14,0,0,0,0,404
15,0,0,0,0,404
0,0,0,0,0,404
1,0,0,0,0,404
2,0,0,0,0,404
3,0,0,0,0,404
4,0,0,0,0,404
5,0,0,0,0,404
6,0,0,0,0,404
7,0,0,0,0,404
8,0,0,0,0,404
9,0,0,0,0,404
10,0,0,0,0,404
11,0,0,0,0,404
12,0,0,0,0,404
13,0,0,0,0,404
14,0,0,0,0,404
15,0,0,0,0,404
0,0,0,0,0,404
1,0,0,0,0,404
2,0,0,0,0,404
3,0,0,0,0,404
4,0,0,0,0,404
5,0,0,0,0,404
6,0,0,0,0,404
7,0,0,0,0,404
8,0,0,0,0,404
9,0,0,0,0,404
10,0,0,0,0,404
11,0,0,0,0,404
12,0,0,0,0,404
13,0,0,0,0,404
14,0,0,0,0,404
15,0,0,0,0,404
0,0,0,0,0,404
1,0,0,0,0,404
2,0,0,0,0,404
3,0,0,0,0,403
4,0,0,0,0,404
5,0,0,0,0,404
6,0,0,0,0,404
7,0,0,0,0,404
8,0,0,0,0,403
9,0,0,0,0,404
10,0,0,0,0,403
11,0,0,0,0,403
12,0,0,0,0,403
13,0,0,0,0,404
14,0,0,0,0,403
15,0,0,0,0,403
0,0,0,0,0,403
1,0,0,0,0,403
2,0,0,0,0,403
3,0,0,0,0,403
4,0,0,0,0,403
5,0,0,0,0,403
6,0,0,0,0,403
7,0,0,0,0,403
8,0,0,0,0,403
9,0,0,0,0,403
10,0,0,0,0,403
11,0,0,0,0,403
12,0,0,0,0,403
13,0,0,0,0,403
14,0,0,0,0,403
15,0,0,0,0,403
0,0,0,0,0,403
1,0,0,0,0,403
2,0,0,0,0,403
3,0,0,0,0,403
4,0,0,0,0,403
5,0,0,0,0,403
6,0,0,0,0,403
7,0,0,0,0,403
8,0,0,0,0,403
9,0,0,0,0,403
10,0,0,0,0,403
11,0,0,0,0,403
12,0,0,0,0,403
13,0,0,0,0,403
14,0,0,0,0,403
15,0,0,0,0,403
0,0,0,0,0,403
1,0,0,0,0,403
2,0,0,0,0,403
3,0,0,0,0,403
4,0,0,0,0,403
5,0,0,0,0,403
6,0,0,0,0,403
7,0,0,0,0,403
8,0,0,0,0,403
9,0,0,0,0,403
10,0,0,0,0,403
11,0,0,0,0,403
12,0,0,0,0,403
13,0,0,0,0,403
14,0,0,0,0,403
15,0,0,0,0,403
0,0,0,0,0,403
1,0,0,0,0,403
2,0,0,0,0,403
3,0,0,0,0,403
4,0,0,0,0,403
5,0,0,0,0,403
6,0,0,0,0,403
7,0,0,0,0,403
8,0,0,0,0,403
9,0,0,0,0,403
10,0,0,0,0,403
11,0,0,0,0,402
12,0,0,0,0,402
13,0,0,0,0,403
14,0,0,0,0,402
15,0,0,0,0,402
0,0,0,0,0,402
1,0,0,0,0,403
2,0,0,0,0,402
3,0,0,0,0,402
4,0,0,0,0,402
5,0,0,0,0,402
6,0,0,0,0,402
7,0,0,0,0,402
8,0,0,0,0,402
9,0,0,0,0,402
10,0,0,0,0,402
11,0,0,0,0,402
12,0,0,0,0,402
13,0,0,0,0,402
14,0,0,0,0,402
15,0,0,0,0,402
0,0,0,0,0,402
1,0,0,0,0,402
2,0,0,0,0,402
3,0,0,0,0,402
4,0,0,0,0,402
5,0,0,0,0,402
6,0,0,0,0,402
7,0,0,0,0,402
8,0,0,0,0,402
9,0,0,0,0,402
10,0,0,0,0,402
11,0,0,0,0,402
12,0,0,0,0,402
13,0,0,0,0,402
14,0,0,0,0,402
15,0,0,0,0,402
0,0,0,0,0,402
1,0,0,0,0,402
2,0,0,0,0,402
3,0,0,0,0,402
4,0,0,0,0,402
5,0,0,0,0,402
6,0,0,0,0,402
7,0,0,0,0,401
8,0,0,0,0,401
9,0,0,0,0,402
10,0,0,0,0,401
11,0,0,0,0,401
12,0,0,0,0,402
13,0,0,0,0,401
14,0,0,0,0,401
15,0,0,0,0,401
0,0,0,0,0,401
1,0,0,0,0,401
2,0,0,0,0,401
3,0,0,0,0,401
4,0,0,0,0,401
5,0,0,0,0,401
6,0,0,0,0,401
7,0,0,0,0,401
8,0,0,0,0,401
9,0,0,0,0,401
10,0,0,0,0,401
11,0,0,0,0,401
12,0,0,0,0,401
13,0,0,0,0,401
14,0,0,0,0,401
15,0,0,0,0,401
0,0,0,0,0,401
1,0,0,0,0,401
2,0,0,0,0,401
3,0,0,0,0,401
4,0,0,0,0,401
5,0,0,0,0,401
6,0,0,0,0,401
7,0,0,0,0,401
8,0,0,0,0,401
9,0,0,0,0,401
10,0,0,0,0,401
11,0,0,0,0,401
12,0,0,0,0,401
13,0,0,0,0,401
14,0,0,0,0,401
15,0,0,0,0,401
0,0,0,0,0,401
1,0,0,0,0,401
2,0,0,0,0,401
3,0,0,0,0,401
4,0,0,0,0,401
5,0,0,0,0,401
6,0,0,0,0,401
7,0,0,0,0,400
8,0,0,0,0,401
9,0,0,0,0,401
10,0,0,0,0,401
11,0,0,0,0,401
12,0,0,0,0,401
13,0,0,0,0,401
14,0,0,0,0,401
15,0,0,0,0,400
0,0,0,0,0,400
1,0,0,0,0,401
2,0,0,0,0,400
3,0,0,0,0,400
4,0,0,0,0,400
5,0,0,0,0,400
6,0,0,0,0,400
7,0,0,0,0,400
8,0,0,0,0,400
9,0,0,0,0,400
10,0,0,0,0,400
11,0,0,0,0,400
12,0,0,0,0,400
13,0,0,0,0,400
14,0,0,0,0,400
15,0,0,0,0,400
0,0,0,0,0,400
1,0,0,0,0,400
2,0,0,0,0,400
3,0,0,0,0,400
4,0,0,0,0,400
5,0,0,0,0,400
6,0,0,0,0,400
7,0,0,0,0,400
8,0,0,0,0,400
9,0,0,0,0,400
10,0,0,0,0,400
11,0,0,0,0,400
12,0,0,0,0,400
13,0,0,0,0,400
14,0,0,0,0,400
15,0,0,0,0,400
0,0,0,0,0,400
1,0,0,0,0,400
2,0,0,0,0,400
3,0,0,0,0,400
4,0,0,0,0,400
5,0,0,0,0,400
6,0,0,0,0,400
7,0,0,0,0,400
8,0,0,0,0,400
9,0,0,0,0,400
10,0,0,0,0,400
11,0,0,0,0,400
12,0,0,0,0,400
13,0,0,0,0,400
14,0,0,0,0,400
15,0,0,0,0,399
0,0,0,0,0,399
1,0,0,0,0,399
2,0,0,0,0,399
3,0,0,0,0,399
4,0,0,0,0,399
5,0,0,0,0,399
6,0,0,0,0,399
7,0,0,0,0,399
8,0,0,0,0,399
9,0,0,0,0,399
10,0,0,0,0,399
11,0,0,0,0,399
12,0,0,0,0,399
13,0,0,0,0,399
14,0,0,0,0,399
15,0,0,0,0,399
0,0,0,0,0,399
1,0,0,0,0,399
2,0,0,0,0,399
3,0,0,0,0,399
4,0,0,0,0,399
5,0,0,0,0,399
6,0,0,0,0,399
7,0,0,0,0,399
8,0,0,0,0,399
9,0,0,0,0,399
10,0,0,0,0,399
11,0,0,0,0,399
12,0,0,0,0,399
13,0,0,0,0,399
14,0,0,0,0,399
15,0,0,0,0,399
0,0,0,0,0,399
1,0,0,0,0,399
2,0,0,0,0,399
3,0,0,0,0,399
4,0,0,0,0,399
5,0,0,0,0,399
6,0,0,0,0,399
7,0,0,0,0,399
8,0,0,0,0,399
9,0,0,0,0,399
10,0,0,0,0,399
11,0,0,0,0,399
12,0,0,0,0,399
13,0,0,0,0,399
14,0,0,0,0,399
15,0,0,0,0,399
0,0,0,0,0,399
1,0,0,0,0,399
2,0,0,0,0,399
3,0,0,0,0,399
4,0,0,0,0,399
5,0,0,0,0,399
6,0,0,0,0,399
7,0,0,0,0,399
8,0,0,0,0,399
9,0,0,0,0,399
10,0,0,0,0,399
11,0,0,0,0,398
12,0,0,0,0,398
13,0,0,0,0,399
14,0,0,0,0,398
15,0,0,0,0,398
0,0,0,0,0,398
1,0,0,0,0,398
2,0,0,0,0,398
3,0,0,0,0,398
4,0,0,0,0,398
5,0,0,0,0,398
6,0,0,0,0,398
7,0,0,0,0,398
8,0,0,0,0,398
9,0,0,0,0,398
10,0,0,0,0,398
11,0,0,0,0,398
12,0,0,0,0,398
13,0,0,0,0,398
14,0,0,0,0,398
15,0,0,0,0,398
0,0,0,0,0,398
1,0,0,0,0,398
2,0,0,0,0,398
3,0,0,0,0,398
4,0,0,0,0,398
5,0,0,0,0,398
6,0,0,0,0,398
7,0,0,0,0,398
8,0,0,0,0,398
9,0,0,0,0,398
10,0,0,0,0,398
11,0,0,0,0,398
12,0,0,0,0,398
13,0,0,0,0,398
14,0,0,0,0,398
15,0,0,0,0,398
0,0,0,0,0,398
1,0,0,0,0,398
2,0,0,0,0,398
3,0,0,0,0,398
4,0,0,0,0,398
5,0,0,0,0,398
6,0,0,0,0,398
7,0,0,0,0,398
8,0,0,0,0,398
9,0,0,0,0,398
10,0,0,0,0,398
11,0,0,0,0,397
12,0,0,0,0,398
13,0,0,0,0,398
14,0,0,0,0,398
15,0,0,0,0,397
0,0,0,0,0,397
1,0,0,0,0,397
2,0,0,0,0,397
3,0,0,0,0,397
4,0,0,0,0,397
5,0,0,0,0,397
6,0,0,0,0,397
7,0,0,0,0,397
8,0,0,0,0,397
9,0,0,0,0,397
10,0,0,0,0,397
11,0,0,0,0,397
12,0,0,0,0,397
13,0,0,0,0,397
14,0,0,0,0,397
15,0,0,0,0,397
0,0,0,0,0,397
1,0,0,0,0,397
2,0,0,0,0,397
3,0,0,0,0,397
4,0,0,0,0,397
5,0,0,0,0,397
6,0,0,0,0,397
7,0,0,0,0,397
8,0,0,0,0,397
9,0,0,0,0,397
10,0,0,0,0,397
11,0,0,0,0,397
12,0,0,0,0,397
13,0,0,0,0,397
14,0,0,0,0,397
15,0,0,0,0,397
0,0,0,0,0,397
1,0,0,0,0,397
2,0,0,0,0,397
3,0,0,0,0,397
4,0,0,0,0,396
5,0,0,0,0,396
6,0,0,0,0,396
7,0,0,0,0,396
8,0,0,0,0,396
9,0,0,0,0,397
10,0,0,0,0,396
11,0,0,0,0,396
12,0,0,0,0,396
13,0,0,0,0,396
14,0,0,0,0,396
15,0,0,0,0,396
0,0,0,0,0,396
1,0,0,0,0,396
2,0,0,0,0,396
3,0,0,0,0,396
4,0,0,0,0,396
5,0,0,0,0,396
6,0,0,0,0,396
7,0,0,0,0,396
8,0,0,0,0,396
9,0,0,0,0,396
10,0,0,0,0,396
11,0,0,0,0,396
12,0,0,0,0,396
13,0,0,0,0,396
14,0,0,0,0,396
15,0,0,0,0,396
0,0,0,0,0,396
1,0,0,0,0,396
2,0,0,0,0,396
3,0,0,0,0,396
4,0,0,0,0,396
5,0,0,0,0,396
6,0,0,0,0,396
7,0,0,0,0,396
8,0,0,0,0,396
9,0,0,0,0,396
10,0,0,0,0,396
11,0,0,0,0,396
12,0,0,0,0,396
13,0,0,0,0,396
14,0,0,0,0,396
15,0,0,0,0,396
0,0,0,0,0,396
1,0,0,0,0,396
2,0,0,0,0,396
3,0,0,0,0,396
4,0,0,0,0,396
